CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,MEDV
0.0063,18.0000,2.3100,0.0000,0.5380,6.5750,65.2000,4.0900,1.0000,296.0000,15.3000,24.0000
0.0273,0.0000,7.0700,0.0000,0.4690,6.4210,78.9000,4.9671,2.0000,242.0000,17.8000,21.6000
0.0273,0.0000,7.0700,0.0000,0.4690,7.1850,61.1000,4.9671,2.0000,242.0000,17.8000,34.7000
0.0324,0.0000,2.1800,0.0000,0.4580,6.9980,45.8000,6.0622,3.0000,222.0000,18.7000,33.4000
0.0691,0.0000,2.1800,0.0000,0.4580,7.1470,54.2000,6.0622,3.0000,222.0000,18.7000,36.2000
0.0299,0.0000,2.1800,0.0000,0.4580,6.4300,58.7000,6.0622,3.0000,222.0000,18.7000,28.7000
0.0883,12.5000,7.8700,0.0000,0.5240,6.0120,66.6000,5.5605,5.0000,311.0000,15.2000,22.9000
0.1446,12.5000,7.8700,0.0000,0.5240,6.1720,96.1000,5.9505,5.0000,311.0000,15.2000,27.1000
0.2112,12.5000,7.8700,0.0000,0.5240,5.6310,100.0000,6.0821,5.0000,311.0000,15.2000,16.5000
0.1700,12.5000,7.8700,0.0000,0.5240,6.0040,85.9000,6.5921,5.0000,311.0000,15.2000,18.9000
0.2249,12.5000,7.8700,0.0000,0.5240,6.3770,94.3000,6.3467,5.0000,311.0000,15.2000,15.0000
0.1175,12.5000,7.8700,0.0000,0.5240,6.0090,82.9000,6.2267,5.0000,311.0000,15.2000,18.9000
0.0938,12.5000,7.8700,0.0000,0.5240,5.8890,39.0000,5.4509,5.0000,311.0000,15.2000,21.7000
0.6298,0.0000,8.1400,0.0000,0.5380,5.9490,61.8000,4.7075,4.0000,307.0000,21.0000,20.4000
0.6380,0.0000,8.1400,0.0000,0.5380,6.0960,84.5000,4.4619,4.0000,307.0000,21.0000,18.2000
0.6274,0.0000,8.1400,0.0000,0.5380,5.8340,56.5000,4.4986,4.0000,307.0000,21.0000,19.9000
1.0539,0.0000,8.1400,0.0000,0.5380,5.9350,29.3000,4.4986,4.0000,307.0000,21.0000,23.1000
0.7842,0.0000,8.1400,0.0000,0.5380,5.9900,81.7000,4.2579,4.0000,307.0000,21.0000,17.5000
0.8027,0.0000,8.1400,0.0000,0.5380,5.4560,36.6000,3.7965,4.0000,307.0000,21.0000,20.2000
0.7258,0.0000,8.1400,0.0000,0.5380,5.7270,69.5000,3.7965,4.0000,307.0000,21.0000,18.2000
1.2518,0.0000,8.1400,0.0000,0.5380,5.5700,98.1000,3.7979,4.0000,307.0000,21.0000,13.6000
0.8520,0.0000,8.1400,0.0000,0.5380,5.9650,89.2000,4.0123,4.0000,307.0000,21.0000,19.6000
1.2325,0.0000,8.1400,0.0000,0.5380,6.1420,91.7000,3.9769,4.0000,307.0000,21.0000,15.2000
0.9884,0.0000,8.1400,0.0000,0.5380,5.8130,100.0000,4.0952,4.0000,307.0000,21.0000,14.5000
0.7503,0.0000,8.1400,0.0000,0.5380,5.9240,94.1000,4.3996,4.0000,307.0000,21.0000,15.6000
0.8405,0.0000,8.1400,0.0000,0.5380,5.5990,85.7000,4.4546,4.0000,307.0000,21.0000,13.9000
0.6719,0.0000,8.1400,0.0000,0.5380,5.8130,90.3000,4.6820,4.0000,307.0000,21.0000,16.6000
0.9558,0.0000,8.1400,0.0000,0.5380,6.0470,88.8000,4.4534,4.0000,307.0000,21.0000,14.8000
0.7730,0.0000,8.1400,0.0000,0.5380,6.4950,94.4000,4.4547,4.0000,307.0000,21.0000,18.4000
1.0025,0.0000,8.1400,0.0000,0.5380,6.6740,87.3000,4.2390,4.0000,307.0000,21.0000,21.0000
1.1308,0.0000,8.1400,0.0000,0.5380,5.7130,94.1000,4.2330,4.0000,307.0000,21.0000,12.7000
1.3547,0.0000,8.1400,0.0000,0.5380,6.0720,100.0000,4.1750,4.0000,307.0000,21.0000,14.5000
1.3880,0.0000,8.1400,0.0000,0.5380,5.9500,82.0000,3.9900,4.0000,307.0000,21.0000,13.2000
1.1517,0.0000,8.1400,0.0000,0.5380,5.7010,95.0000,3.7872,4.0000,307.0000,21.0000,13.1000
1.6128,0.0000,8.1400,0.0000,0.5380,6.0960,96.9000,3.7598,4.0000,307.0000,21.0000,13.5000
0.0642,0.0000,5.9600,0.0000,0.4990,5.9330,68.2000,3.3603,5.0000,279.0000,19.2000,18.9000
0.0974,0.0000,5.9600,0.0000,0.4990,5.8410,61.4000,3.3779,5.0000,279.0000,19.2000,20.0000
0.0801,0.0000,5.9600,0.0000,0.4990,5.8500,41.5000,3.9342,5.0000,279.0000,19.2000,21.0000
0.1751,0.0000,5.9600,0.0000,0.4990,5.9660,30.2000,3.8473,5.0000,279.0000,19.2000,24.7000
0.0276,75.0000,2.9500,0.0000,0.4280,6.5950,21.8000,5.4011,3.0000,252.0000,18.3000,30.8000
0.0336,75.0000,2.9500,0.0000,0.4280,7.0240,15.8000,5.4011,3.0000,252.0000,18.3000,34.9000
0.1274,0.0000,6.9100,0.0000,0.4480,6.7700,2.9000,5.7209,3.0000,233.0000,17.9000,26.6000
0.1415,0.0000,6.9100,0.0000,0.4480,6.1690,6.6000,5.7209,3.0000,233.0000,17.9000,25.3000
0.1594,0.0000,6.9100,0.0000,0.4480,6.2110,6.5000,5.7209,3.0000,233.0000,17.9000,24.7000
0.1227,0.0000,6.9100,0.0000,0.4480,6.0690,40.0000,5.7209,3.0000,233.0000,17.9000,21.2000
0.1714,0.0000,6.9100,0.0000,0.4480,5.6820,33.8000,5.1004,3.0000,233.0000,17.9000,19.3000
0.1884,0.0000,6.9100,0.0000,0.4480,5.7860,33.3000,5.1004,3.0000,233.0000,17.9000,20.0000
0.2293,0.0000,6.9100,0.0000,0.4480,6.0300,85.5000,5.6894,3.0000,233.0000,17.9000,16.6000
0.2539,0.0000,6.9100,0.0000,0.4480,5.3990,95.3000,5.8700,3.0000,233.0000,17.9000,14.4000
0.2198,0.0000,6.9100,0.0000,0.4480,5.6020,62.0000,6.0877,3.0000,233.0000,17.9000,19.4000
0.0887,21.0000,5.6400,0.0000,0.4390,5.9630,45.7000,6.8147,4.0000,243.0000,16.8000,19.7000
0.0434,21.0000,5.6400,0.0000,0.4390,6.1150,63.0000,6.8147,4.0000,243.0000,16.8000,20.5000
0.0536,21.0000,5.6400,0.0000,0.4390,6.5110,21.1000,6.8147,4.0000,243.0000,16.8000,25.0000
0.0498,21.0000,5.6400,0.0000,0.4390,5.9980,21.4000,6.8147,4.0000,243.0000,16.8000,23.4000
0.0136,75.0000,4.0000,0.0000,0.4100,5.8880,47.6000,7.3197,3.0000,469.0000,21.1000,18.9000
0.0131,90.0000,1.2200,0.0000,0.4030,7.2490,21.9000,8.6966,5.0000,226.0000,17.9000,35.4000
0.0205,85.0000,0.7400,0.0000,0.4100,6.3830,35.7000,9.1876,2.0000,313.0000,17.3000,24.7000
0.0143,100.0000,1.3200,0.0000,0.4110,6.8160,40.5000,8.3248,5.0000,256.0000,15.1000,31.6000
0.1545,25.0000,5.1300,0.0000,0.4530,6.1450,29.2000,7.8148,8.0000,284.0000,19.7000,23.3000
0.1033,25.0000,5.1300,0.0000,0.4530,5.9270,47.2000,6.9320,8.0000,284.0000,19.7000,19.6000
0.1493,25.0000,5.1300,0.0000,0.4530,5.7410,66.2000,7.2254,8.0000,284.0000,19.7000,18.7000
0.1717,25.0000,5.1300,0.0000,0.4530,5.9660,93.4000,6.8185,8.0000,284.0000,19.7000,16.0000
0.1103,25.0000,5.1300,0.0000,0.4530,6.4560,67.8000,7.2255,8.0000,284.0000,19.7000,22.2000
0.1265,25.0000,5.1300,0.0000,0.4530,6.7620,43.4000,7.9809,8.0000,284.0000,19.7000,25.0000
0.0195,17.5000,1.3800,0.0000,0.4161,7.1040,59.5000,9.2229,3.0000,216.0000,18.6000,33.0000
0.0358,80.0000,3.3700,0.0000,0.3980,6.2900,17.8000,6.6115,4.0000,337.0000,16.1000,23.5000
0.0438,80.0000,3.3700,0.0000,0.3980,5.7870,31.1000,6.6115,4.0000,337.0000,16.1000,19.4000
0.0579,12.5000,6.0700,0.0000,0.4090,5.8780,21.4000,6.4980,4.0000,345.0000,18.9000,22.0000
0.1355,12.5000,6.0700,0.0000,0.4090,5.5940,36.8000,6.4980,4.0000,345.0000,18.9000,17.4000
0.1282,12.5000,6.0700,0.0000,0.4090,5.8850,33.0000,6.4980,4.0000,345.0000,18.9000,20.9000
0.0883,0.0000,10.8100,0.0000,0.4130,6.4170,6.6000,5.2873,4.0000,305.0000,19.2000,24.2000
0.1588,0.0000,10.8100,0.0000,0.4130,5.9610,17.5000,5.2873,4.0000,305.0000,19.2000,21.7000
0.0916,0.0000,10.8100,0.0000,0.4130,6.0650,7.8000,5.2873,4.0000,305.0000,19.2000,22.8000
0.1954,0.0000,10.8100,0.0000,0.4130,6.2450,6.2000,5.2873,4.0000,305.0000,19.2000,23.4000
0.0790,0.0000,12.8300,0.0000,0.4370,6.2730,6.0000,4.2515,5.0000,398.0000,18.7000,24.1000
0.0951,0.0000,12.8300,0.0000,0.4370,6.2860,45.0000,4.5026,5.0000,398.0000,18.7000,21.4000
0.1015,0.0000,12.8300,0.0000,0.4370,6.2790,74.5000,4.0522,5.0000,398.0000,18.7000,20.0000
0.0871,0.0000,12.8300,0.0000,0.4370,6.1400,45.8000,4.0905,5.0000,398.0000,18.7000,20.8000
0.0565,0.0000,12.8300,0.0000,0.4370,6.2320,53.7000,5.0141,5.0000,398.0000,18.7000,21.2000
0.0839,0.0000,12.8300,0.0000,0.4370,5.8740,36.6000,4.5026,5.0000,398.0000,18.7000,20.3000
0.0411,25.0000,4.8600,0.0000,0.4260,6.7270,33.5000,5.4007,4.0000,281.0000,19.0000,28.0000
0.0446,25.0000,4.8600,0.0000,0.4260,6.6190,70.4000,5.4007,4.0000,281.0000,19.0000,23.9000
0.0366,25.0000,4.8600,0.0000,0.4260,6.3020,32.2000,5.4007,4.0000,281.0000,19.0000,24.8000
0.0355,25.0000,4.8600,0.0000,0.4260,6.1670,46.7000,5.4007,4.0000,281.0000,19.0000,22.9000
0.0506,0.0000,4.4900,0.0000,0.4490,6.3890,48.0000,4.7794,3.0000,247.0000,18.5000,23.9000
0.0573,0.0000,4.4900,0.0000,0.4490,6.6300,56.1000,4.4377,3.0000,247.0000,18.5000,26.6000
0.0519,0.0000,4.4900,0.0000,0.4490,6.0150,45.1000,4.4272,3.0000,247.0000,18.5000,22.5000
0.0715,0.0000,4.4900,0.0000,0.4490,6.1210,56.8000,3.7476,3.0000,247.0000,18.5000,22.2000
0.0566,0.0000,3.4100,0.0000,0.4890,7.0070,86.3000,3.4217,2.0000,270.0000,17.8000,23.6000
0.0530,0.0000,3.4100,0.0000,0.4890,7.0790,63.1000,3.4145,2.0000,270.0000,17.8000,28.7000
0.0468,0.0000,3.4100,0.0000,0.4890,6.4170,66.1000,3.0923,2.0000,270.0000,17.8000,22.6000
0.0393,0.0000,3.4100,0.0000,0.4890,6.4050,73.9000,3.0921,2.0000,270.0000,17.8000,22.0000
0.0420,28.0000,15.0400,0.0000,0.4640,6.4420,53.6000,3.6659,4.0000,270.0000,18.2000,22.9000
0.0288,28.0000,15.0400,0.0000,0.4640,6.2110,28.9000,3.6659,4.0000,270.0000,18.2000,25.0000
0.0429,28.0000,15.0400,0.0000,0.4640,6.2490,77.3000,3.6150,4.0000,270.0000,18.2000,20.6000
0.1220,0.0000,2.8900,0.0000,0.4450,6.6250,57.8000,3.4952,2.0000,276.0000,18.0000,28.4000
0.1150,0.0000,2.8900,0.0000,0.4450,6.1630,69.6000,3.4952,2.0000,276.0000,18.0000,21.4000
0.1208,0.0000,2.8900,0.0000,0.4450,8.0690,76.0000,3.4952,2.0000,276.0000,18.0000,38.7000
0.0819,0.0000,2.8900,0.0000,0.4450,7.8200,36.9000,3.4952,2.0000,276.0000,18.0000,43.8000
0.0686,0.0000,2.8900,0.0000,0.4450,7.4160,62.5000,3.4952,2.0000,276.0000,18.0000,33.2000
0.1487,0.0000,8.5600,0.0000,0.5200,6.7270,79.9000,2.7778,5.0000,384.0000,20.9000,27.5000
0.1143,0.0000,8.5600,0.0000,0.5200,6.7810,71.3000,2.8561,5.0000,384.0000,20.9000,26.5000
0.2288,0.0000,8.5600,0.0000,0.5200,6.4050,85.4000,2.7147,5.0000,384.0000,20.9000,18.6000
0.2116,0.0000,8.5600,0.0000,0.5200,6.1370,87.4000,2.7147,5.0000,384.0000,20.9000,19.3000
0.1396,0.0000,8.5600,0.0000,0.5200,6.1670,90.0000,2.4210,5.0000,384.0000,20.9000,20.1000
0.1326,0.0000,8.5600,0.0000,0.5200,5.8510,96.7000,2.1069,5.0000,384.0000,20.9000,19.5000
0.1712,0.0000,8.5600,0.0000,0.5200,5.8360,91.9000,2.2110,5.0000,384.0000,20.9000,19.5000
0.1312,0.0000,8.5600,0.0000,0.5200,6.1270,85.2000,2.1224,5.0000,384.0000,20.9000,20.4000
0.1280,0.0000,8.5600,0.0000,0.5200,6.4740,97.1000,2.4329,5.0000,384.0000,20.9000,19.8000
0.2636,0.0000,8.5600,0.0000,0.5200,6.2290,91.2000,2.5451,5.0000,384.0000,20.9000,19.4000
0.1079,0.0000,8.5600,0.0000,0.5200,6.1950,54.4000,2.7778,5.0000,384.0000,20.9000,21.7000
0.1008,0.0000,10.0100,0.0000,0.5470,6.7150,81.6000,2.6775,6.0000,432.0000,17.8000,22.8000
0.1233,0.0000,10.0100,0.0000,0.5470,5.9130,92.9000,2.3534,6.0000,432.0000,17.8000,18.8000
0.2221,0.0000,10.0100,0.0000,0.5470,6.0920,95.4000,2.5480,6.0000,432.0000,17.8000,18.7000
0.1423,0.0000,10.0100,0.0000,0.5470,6.2540,84.2000,2.2565,6.0000,432.0000,17.8000,18.5000
0.1713,0.0000,10.0100,0.0000,0.5470,5.9280,88.2000,2.4631,6.0000,432.0000,17.8000,18.3000
0.1316,0.0000,10.0100,0.0000,0.5470,6.1760,72.5000,2.7301,6.0000,432.0000,17.8000,21.2000
0.1510,0.0000,10.0100,0.0000,0.5470,6.0210,82.6000,2.7474,6.0000,432.0000,17.8000,19.2000
0.1306,0.0000,10.0100,0.0000,0.5470,5.8720,73.1000,2.4775,6.0000,432.0000,17.8000,20.4000
0.1448,0.0000,10.0100,0.0000,0.5470,5.7310,65.2000,2.7592,6.0000,432.0000,17.8000,19.3000
0.0690,0.0000,25.6500,0.0000,0.5810,5.8700,69.7000,2.2577,2.0000,188.0000,19.1000,22.0000
