x,y
numeric,numeric
2.0858,-0.4942
4.6724,-5.8500
2.4812,-3.3264
0.2579,4.5996
-0.9518,4.9771
0.8767,-1.4062
-2.4933,3.0405
-1.1577,3.8191
2.6014,-2.4604
-4.4228,5.3924
-3.4061,3.4135
1.7141,-2.7860
0.4162,5.5032
-0.4573,-3.5011
2.1881,0.5900
-0.5088,-5.5937
-3.2992,3.6643
-4.4209,4.5757
3.7067,-4.0225
1.1370,-4.6909
1.6667,-1.7046
-1.0486,2.9434
2.4979,-3.5114
-4.4312,5.3247
1.3511,-5.0706
2.5869,-3.2455
4.1796,-4.5481
2.6861,-3.5682
-0.0131,-2.5881
4.9561,-6.1233
-4.1826,4.7806
1.5144,-3.4869
-4.9060,6.7906
-4.9186,6.1600
4.8064,-5.3322
-2.6523,3.2976
3.0512,-3.7724
-1.4779,4.8870
3.9812,-3.4779
3.7361,-3.7765
4.7174,-5.5629
3.7316,-3.9363
-3.7678,3.1532
-1.8937,0.8014
3.4517,-3.3885
-1.0814,4.1911
-2.2837,2.6292
-4.1659,4.3913
1.1602,-4.1607
3.0275,-4.7104
-2.3371,1.3775
-3.3905,3.6270
-1.6356,0.9295
-1.2501,3.6023
0.2506,3.9062
3.5129,-4.1258
-0.0020,-1.6314
0.7166,0.7973
1.1259,-4.5795
-0.1687,2.3200
-4.2269,4.8820
-1.6143,1.8303
-2.3083,1.9808
-1.3967,3.5115
-0.7808,1.4113
4.6171,-5.1271
-4.6450,5.7937
4.3419,-5.5405
4.4529,-5.3467
-1.0788,3.7787
-2.8698,4.8453
-0.1518,-3.1446
-4.6063,5.3361
4.7453,-5.7130
-0.6558,-2.1805
2.2217,-0.9301
0.6574,2.6630
0.0701,2.3438
4.0726,-4.1413
0.3469,5.8019
4.3335,-5.0248
5.0683,-5.2719
1.0861,-2.6642
-0.3514,-5.0064
-0.2177,-4.6020
-3.4761,3.9919
-2.7852,3.8568
4.3773,-5.3085
2.2452,-1.9623
3.6191,-4.3596
-4.9941,4.2247
-2.9211,4.5310
-3.2673,4.6297
-2.6956,3.6168
-3.9470,4.6431
3.5573,-2.8101
1.8704,-0.1618
-4.8376,5.4263
3.0316,-4.1514
-3.9468,3.9495
-3.9434,4.5463
-2.0419,0.7706
-2.3346,2.2291
0.5220,5.1330
1.9721,0.6209
4.0802,-4.6434
-2.2559,1.8888
-0.8016,-0.5353
-2.0436,-0.5444
2.6908,-4.1022
1.5152,-1.6304
4.9276,-5.1388
3.4707,-3.6294
1.1777,-5.5256
-0.6451,-2.2400
1.9010,-1.1783
-4.4678,4.3569
3.7441,-2.7316
0.9182,-3.1007
-0.4464,-4.6363
0.3782,5.4278
-3.6666,2.5227
-1.9448,1.1809
-3.2815,3.8572
0.6115,4.8538
-3.1476,4.5227
-1.7665,1.5032
-0.2853,-4.7103
-4.1033,4.0774
0.7047,-0.4552
3.0433,-3.2776
-1.6497,2.0963
-2.9591,4.4818
3.3153,-3.5932
-1.6243,2.9238
-3.7877,4.9180
-3.0007,4.0614
-3.4333,4.9160
2.3187,-1.9192
2.7814,-3.9617
2.0639,-0.9865
1.3836,-3.8796
-4.8946,5.4595
-3.0557,3.5871
1.4086,-3.4458
1.8860,-2.2583
-0.7876,1.6574
-1.6124,3.1058
3.1363,-4.2450
3.9980,-4.2476
