x,y
0.7122,3.6662
1.9331,4.3839
0.4342,3.3969
-0.0756,3.9673
0.3855,3.6771
1.2936,4.9587
0.7770,2.9459
0.2938,4.1759
0.6346,3.8384
0.7742,3.5551
0.2717,2.6502
1.6115,4.7359
1.7336,4.7619
1.0482,5.3563
0.5991,5.0235
0.1617,4.0310
1.7924,4.6886
1.5894,3.7630
0.8746,3.6746
0.6820,4.4267
1.8313,4.1774
1.0395,3.3216
1.6000,3.7934
1.3959,4.3966
1.2902,4.5701
1.1074,2.9924
0.7050,3.1810
0.8956,4.7115
1.4728,4.0896
0.6933,4.2783
-0.1712,2.2938
0.6618,3.8315
0.8728,3.4440
0.8111,3.7823
0.9081,4.7590
1.6960,3.6351
0.8088,4.9589
1.1935,4.0240
1.4250,4.9926
0.6032,3.9051
1.3134,4.5619
0.7996,3.8343
1.1532,3.7679
0.9896,3.6142
1.4346,4.6788
1.2529,3.3871
0.9716,3.6313
0.1788,3.9018
1.1831,4.2762
1.0917,4.0685
0.5667,3.8247
1.6457,3.7633
1.0665,4.8029
1.0073,4.6198
1.1892,3.7195
0.2690,4.0491
0.7856,3.5238
1.4940,4.0669
1.0691,3.5598
1.0860,4.4792
1.4321,4.6671
1.1477,3.4083
0.6846,3.3110
1.1675,4.1016
0.7941,3.6672
1.3296,3.9177
0.8120,3.6025
0.4794,4.1754
1.7633,6.0216
1.0872,2.9271
0.8386,3.3686
1.0347,4.8551
0.6996,3.9457
0.4022,4.3146
0.6092,3.3306
1.5404,4.7866
1.7619,5.2541
0.8247,3.8282
0.0884,2.9036
0.8175,3.4181
1.0039,4.6936
0.2966,3.9863
1.0672,4.0379
0.8666,4.5871
2.0147,5.3586
0.8012,4.1755
0.9768,3.9184
1.1824,4.0783
1.7234,4.4910
1.3081,4.9716
0.9905,4.4886
1.5253,3.4736
1.5904,3.5497
1.0050,3.8844
1.3390,4.9117
1.0437,4.4703
0.8198,3.8592
1.4079,3.4719
1.5796,3.7913
0.2472,2.3060
1.0738,4.5947
1.5593,4.8239
1.0912,3.9087
1.9174,6.0673
0.9461,4.4351
0.5965,4.4467
1.8318,3.6610
1.5520,4.8047
2.0032,4.6458
1.9231,4.2652
1.3840,4.8770
0.6743,5.7008
0.9454,3.7289
0.6972,3.5563
0.5990,3.8190
2.0219,5.9425
1.4676,3.9303
1.2620,3.8675
1.6951,4.1636
0.8780,3.0687
0.6401,4.4193
1.0137,5.0283
1.6658,5.2049
1.2454,4.6313
0.6143,5.0647
0.8143,4.3079
1.0808,4.3652
0.8964,4.7132
2.3698,5.0890
0.9505,4.0213
1.5481,4.1738
1.1353,5.6520
0.4610,3.8960
0.1123,3.6380
0.7089,4.5857
1.7727,5.0661
0.3526,3.6049
1.3365,3.5321
0.2400,3.7981
1.1343,4.0734
1.4015,3.4685
1.2463,4.2617
0.7548,3.5781
0.1635,4.3924
0.4614,4.6282
0.4840,4.3620
1.7150,5.5092
1.5912,4.6213
-0.1771,3.5873
1.2395,3.8021
-4.3941,0.4310
-4.7576,-0.6955
-4.7659,0.7264
-3.3379,-0.1851
-3.8993,0.1706
-4.4011,-0.2644
-3.8896,-0.5471
-5.2017,0.3452
-5.0724,-0.8672
-3.9624,-0.9007
-4.4209,0.0668
